label	sentence
neutral	The owners who have participated in the business operations of the company will continue in Poyry 's employment after the transaction .
neutral	Each share is entitled to one vote .
negative	Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .
negative	Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .
positive	Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .
negative	Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .
positive	Lee & Man Paper and Metso have a long and prosperous co-operation , a good example of which are the Changshu and Hongmei kraftliner machines delivered earlier .
negative	Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .
neutral	ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .
positive	Passenger volumes rose by 8.4 % in the accounting period .
neutral	The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .
neutral	Ahlstrom Corporation Seppo Parvi , CFO Distribution : Main media www.ahlstrom.com Ahlstrom in brief Ahlstrom is a global leader in the development , manufacture and marketing of high performance nonwovens and specialty papers .
neutral	The electricity requirement of networks will grow with the new mobile generation .
neutral	The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .
neutral	`` Korean consumers are tech-savvy and leading the pack in terms of design , '' Gill Hyun-chang , president of Motorola Korea Inc. , told Dow Jones Newswires in an interview .
negative	Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .
positive	The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million .
positive	Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .
neutral	The order consists of outsourced application management , support and planning for Tecnotree and third-party applications .
neutral	The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .
neutral	All depends on financing .
neutral	The front surfaces of these valve plates are directed towards each other .
positive	The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .
neutral	Their names have not yet been released .
neutral	Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .
neutral	Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index .
positive	Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year .
neutral	The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News .
neutral	Vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .
positive	Oriola-KD expects its invoicing in 2008 to be higher than the comparable invoicing of 2007 .
positive	Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .
positive	Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .
neutral	In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .
neutral	The company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 .
positive	Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .
neutral	The venture , which will be 51 % owned by Kemira and 49 % by IVRCL , will operate an inorganic coagulant manufacturing facility , to be built in Vishakapatnam Vizag in the state of Andhra Pradesh and to kick off operations in the second half of 2011 .
neutral	No more waste-burning facilities should be built .
positive	Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .
neutral	In 2007 , Etteplan had turnover of EUR125 .2 m.
neutral	With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .
positive	According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .
positive	KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .
neutral	The company expects sales revenue of RMB8 .0 billion in 2009 .
negative	Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .
positive	Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .
positive	Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .
neutral	The measures result from the statutory joint negotiations with employees which started in February and concerned all operations in the country .
positive	HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur .
positive	A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .
neutral	A comprehensive range of cut-to-length and slitting services will allow Ruukki in particular to serve light engineering customers who relocate their production to the St. Petersburg area .
